Latitude,Longitude,Shop
45.40394552,-71.95340766,Tim Hortons
45.37697564,-71.97731627,Tim Hortons
45.395478,-71.9929971,Tim Hortons
45.39485862,-72.00530634,Tim Hortons
45.36498881,-71.84661485,Tim Hortons
45.4459362,-71.7696476,Tim Hortons
45.369008,-71.855625,Tim Hortons
45.271745,-72.137891,Tim Hortons
45.13281798,-71.8005733,Tim Hortons
45.66423588,-72.15888926,Tim Hortons
45.8982668,-72.52386332,Tim Hortons
45.87580727,-72.51898242,Tim Hortons
45.87666745,-72.48542647,Tim Hortons
45.83627616,-72.50427807,Tim Hortons
45.85153875,-72.4562919,Tim Hortons
45.854799,-72.58325279,Tim Hortons
45.75666724,-72.70740913,Tim Hortons
45.73365449,-72.73839712,Tim Hortons
45.687939,-72.80671835,Tim Hortons
45.64756258,-72.95022803,Tim Hortons
45.63259874,-72.96894664,Tim Hortons
45.644419,-72.977051,Tim Hortons
45.63876886,-72.96893189,Tim Hortons
45.59204,-73.19702728,Tim Hortons
45.592802,-73.18598,Tim Hortons
45.56305012,-73.20576986,Tim Hortons
45.54447082,-73.23782444,Tim Hortons
45.41456208,-73.01290474,Tim Hortons
45.42205407,-72.72534616,Tim Hortons
45.58481,-73.282019,Tim Hortons
45.58807867,-73.2818446,Tim Hortons
45.403486,-72.734043,Tim Hortons
45.405511,-72.7436,Tim Hortons
45.3618001,-72.93542582,Tim Hortons
45.382744,-73.060364,Tim Hortons
45.416367,-72.76104726,Tim Hortons
45.52840875,-73.29264469,Tim Hortons
45.5280353,-73.34751874,Tim Hortons
45.43788699,-73.1712154,Tim Hortons
45.35212722,-72.77953956,Tim Hortons
45.5400971,-73.36814716,Tim Hortons
45.41299257,-73.240495,Tim Hortons
45.44371986,-73.24895067,Tim Hortons
45.58253887,-73.3272332,Tim Hortons
45.81139332,-73.3742558,Tim Hortons
45.68662852,-73.43166845,Tim Hortons
45.33286828,-72.64851447,Tim Hortons
45.58229921,-73.32780143,Tim Hortons
45.56698256,-73.40678965,Tim Hortons
45.495468,-73.40793,Tim Hortons
45.6561664,-73.42258992,Tim Hortons
45.28687668,-72.98834229,Tim Hortons
45.48151246,-73.39052489,Tim Hortons
45.628951,-73.444474,Tim Hortons
45.452562,-73.30112,Tim Hortons
45.51622331,-73.448902,Tim Hortons
45.74419399,-73.45340939,Tim Hortons
45.4835609,-73.39859935,Tim Hortons
45.75369154,-73.46920476,Tim Hortons
45.63971,-73.495712,Tim Hortons
45.892328,-73.294001,Tim Hortons
45.50351965,-73.46836567,Tim Hortons
45.531463,-73.4717,Tim Hortons
45.5360502,-73.496865,Tim Hortons
45.52295037,-73.46564591,Tim Hortons
45.51132432,-73.49362135,Tim Hortons
45.53595488,-73.48963794,Tim Hortons
45.45633778,-73.49205494,Tim Hortons
45.47500592,-73.47277541,Tim Hortons
45.51465635,-73.56221904,Tim Hortons
