Latitude,Longitude,Shop
21.2836647,-157.8359985,Starbucks
21.27871895,-157.8323822,Starbucks
21.27952385,-157.8301392,Starbucks
21.27922058,-157.8285828,Starbucks
21.27166176,-157.8227081,Starbucks
21.29855156,-157.8189392,Starbucks
21.28373146,-157.8144379,Starbucks
21.27905846,-157.8138275,Starbucks
21.30994225,-157.8103485,Starbucks
21.42017937,-157.8050385,Starbucks
21.42000198,-157.8026581,Starbucks
21.40179062,-157.7991486,Starbucks
21.27752876,-157.7868042,Starbucks
21.27716064,-157.7849579,Starbucks
21.27889061,-157.753006,Starbucks
21.39335251,-157.740921,Starbucks
21.39351654,-157.7403564,Starbucks
21.37836647,-157.7288513,Starbucks
21.2831955,-157.7108307,Starbucks
21.27714539,-157.7055054,Starbucks
20.91588593,-156.6960754,Starbucks
20.88614273,-156.683609,Starbucks
20.88427734,-156.6816711,Starbucks
20.87724876,-156.6795807,Starbucks
20.88749123,-156.4875641,Starbucks
20.88808823,-156.4749298,Starbucks
20.87431526,-156.455719,Starbucks
20.88228035,-156.454361,Starbucks
20.73427963,-156.4525909,Starbucks
20.88824463,-156.4512634,Starbucks
20.75222588,-156.4487305,Starbucks
20.75263786,-156.4482727,Starbucks
20.69248199,-156.441391,Starbucks
20.89333344,-156.4374695,Starbucks
20.8377018,-156.3421478,Starbucks
19.64949799,-156.00383,Starbucks
19.64081383,-155.9923401,Starbucks
19.64587212,-155.9883423,Starbucks
19.91420364,-155.8801117,Starbucks
20.02055168,-155.6673126,Starbucks
19.71949959,-155.0825195,Starbucks
19.69921112,-155.0651703,Starbucks
19.69921112,-155.065094,Starbucks
19.69892311,-155.0616302,Starbucks
57.81049347,-152.3672485,Starbucks
59.64234161,-151.5364838,Starbucks
60.4839859,-151.0707855,Starbucks
60.48981857,-151.0499268,Starbucks
61.17435455,-149.9830017,Starbucks
61.17557907,-149.9803925,Starbucks
61.13725281,-149.9560242,Starbucks
61.15016556,-149.9511871,Starbucks
61.13618851,-149.919693,Starbucks
61.1942749,-149.9158783,Starbucks
61.2170639,-149.8885803,Starbucks
61.21710587,-149.8881073,Starbucks
61.12820435,-149.885025,Starbucks
61.18025589,-149.8835144,Starbucks
61.12947845,-149.8804932,Starbucks
61.19426727,-149.8652039,Starbucks
61.14487457,-149.8631134,Starbucks
61.10861969,-149.8545227,Starbucks
61.14221573,-149.844635,Starbucks
61.13602066,-149.8380127,Starbucks
61.18126678,-149.8357391,Starbucks
61.21641541,-149.8208618,Starbucks
61.20883942,-149.7780762,Starbucks
61.22719955,-149.7534027,Starbucks
61.2287178,-149.7424927,Starbucks
61.23114395,-149.7415161,Starbucks
61.19540024,-149.7372284,Starbucks
61.21112823,-149.7368469,Starbucks
61.26210022,-149.6772003,Starbucks
61.32361221,-149.5714722,Starbucks
61.32546234,-149.5707855,Starbucks
61.34592056,-149.5524902,Starbucks
61.5810585,-149.4356232,Starbucks
60.12895584,-149.433548,Starbucks
61.57762909,-149.4120941,Starbucks
61.5763588,-149.4072723,Starbucks
61.57646561,-149.405426,Starbucks
61.5980072,-149.1268616,Starbucks
61.60102081,-149.1204987,Starbucks
64.81811523,-147.8674927,Starbucks
64.83554077,-147.8181763,Starbucks
64.83547211,-147.8086548,Starbucks
64.8514328,-147.700119,Starbucks
64.85445404,-147.6900635,Starbucks
64.83148193,-147.6525116,Starbucks
64.7575531,-147.3539429,Starbucks
60.73161697,-135.070755,Starbucks
60.7194252,-135.0523682,Starbucks
58.35996246,-134.5617218,Starbucks
58.3591156,-134.5482788,Starbucks
55.34944534,-131.6738281,Starbucks
54.31492996,-130.3233032,Starbucks
54.51623535,-128.5916443,Starbucks
54.82326508,-127.190361,Starbucks
50.03409576,-125.2502975,Starbucks
50.02891541,-125.2497101,Starbucks
49.68388748,-124.9914932,Starbucks
49.70910645,-124.9633179,Starbucks
49.2663765,-124.7857132,Starbucks
49.84178543,-124.5188293,Starbucks
49.84180832,-124.5177536,Starbucks
49.31860352,-124.3007202,Starbucks
42.05382538,-124.2903137,Starbucks
43.40660477,-124.2354279,Starbucks
43.35878372,-124.2104034,Starbucks
41.76164246,-124.1981964,Starbucks
40.80157471,-124.1671524,Starbucks
40.79925537,-124.1471634,Starbucks
40.57889175,-124.146347,Starbucks
40.8055687,-124.1440353,Starbucks
40.78046417,-124.1390305,Starbucks
43.97299576,-124.1030884,Starbucks
40.94036484,-124.1013336,Starbucks
49.23833466,-124.0544815,Starbucks
44.63739777,-124.0525589,Starbucks
44.65131378,-124.0512619,Starbucks
49.23022079,-124.0423203,Starbucks
44.99721909,-124.006073,Starbucks
44.9895401,-124.0052872,Starbucks
49.20520782,-124.0050201,Starbucks
49.19342422,-123.9550171,Starbucks
49.18331528,-123.9546356,Starbucks
49.15534973,-123.9513474,Starbucks
49.16438293,-123.9335785,Starbucks
45.99110031,-123.9204178,Starbucks
46.16013718,-123.902626,Starbucks
46.16073227,-123.9003677,Starbucks
45.47487259,-123.8455429,Starbucks
45.45516968,-123.8454056,Starbucks
46.97253418,-123.8185196,Starbucks
46.19189835,-123.8080826,Starbucks
